Date,Open,High,Low,Close,Adj Close,Volume
"Jun 18, 2025",195.95,197.57,195.07,196.33,196.33,"19,934,746"
"Jun 17, 2025",197.2,198.39,195.21,195.64,195.64,"38,736,900"
"Jun 16, 2025",197.3,198.69,196.56,198.42,198.42,"43,020,700"
"Jun 13, 2025",199.73,200.37,195.7,196.45,196.45,"51,447,300"
"Jun 12, 2025",199.08,199.68,197.36,199.2,199.2,"43,904,600"
"Jun 11, 2025",203.5,204.5,198.41,198.78,198.78,"60,989,900"
"Jun 10, 2025",200.6,204.35,200.57,202.67,202.67,"54,672,600"
"Jun 9, 2025",204.39,206,200.02,201.45,201.45,"72,862,600"
"Jun 6, 2025",203,205.7,202.05,203.92,203.92,"46,607,700"
"Jun 5, 2025",203.5,204.75,200.15,200.63,200.63,"55,126,100"
"Jun 4, 2025",202.91,206.24,202.1,202.82,202.82,"43,604,000"
"Jun 3, 2025",201.35,203.77,200.96,203.27,203.27,"46,381,600"
"Jun 2, 2025",200.28,202.13,200.12,201.7,201.7,"35,423,300"
"May 30, 2025",199.37,201.96,196.78,200.85,200.85,"70,819,900"
"May 29, 2025",203.58,203.81,198.51,199.95,199.95,"51,396,800"
"May 28, 2025",200.59,202.73,199.9,200.42,200.42,"45,339,700"
"May 27, 2025",198.3,200.74,197.43,200.21,200.21,"56,288,500"
"May 23, 2025",193.67,197.7,193.46,195.27,195.27,"78,432,900"
"May 22, 2025",200.71,202.75,199.7,201.36,201.36,"46,742,400"
"May 21, 2025",205.17,207.04,200.71,202.09,202.09,"59,211,800"
"May 20, 2025",207.67,208.47,205.03,206.86,206.86,"42,496,600"
"May 19, 2025",207.91,209.48,204.26,208.78,208.78,"46,140,500"
"May 16, 2025",212.36,212.57,209.77,211.26,211.26,"54,737,900"
"May 15, 2025",210.95,212.96,209.54,211.45,211.45,"45,029,500"
"May 14, 2025",212.43,213.94,210.58,212.33,212.33,"49,325,800"
"May 13, 2025",210.43,213.4,209,212.93,212.93,"51,909,300"
"May 12, 2025",210.97,211.27,206.75,210.79,210.79,"63,775,800"
"May 9, 2025",199,200.54,197.54,198.53,198.27,"36,453,900"
"May 8, 2025",197.72,200.05,194.68,197.49,197.23,"50,478,900"
"May 7, 2025",199.17,199.44,193.25,196.25,195.99,"68,536,700"
"May 6, 2025",198.21,200.65,197.02,198.51,198.25,"51,216,500"
"May 5, 2025",203.1,204.1,198.21,198.89,198.63,"69,018,500"
"May 2, 2025",206.09,206.99,202.16,205.35,205.08,"101,010,600"
"May 1, 2025",209.08,214.56,208.9,213.32,213.04,"57,365,700"
"Apr 30, 2025",209.3,213.58,206.67,212.5,212.22,"52,286,500"
"Apr 29, 2025",208.69,212.24,208.37,211.21,210.93,"36,827,600"
"Apr 28, 2025",210,211.5,207.46,210.14,209.86,"38,743,100"
"Apr 25, 2025",206.37,209.75,206.2,209.28,209.01,"38,222,300"
"Apr 24, 2025",204.89,208.83,202.94,208.37,208.1,"47,311,000"
"Apr 23, 2025",206,208,202.8,204.6,204.33,"52,929,200"
"Apr 22, 2025",196.12,201.59,195.97,199.74,199.48,"52,976,400"
"Apr 21, 2025",193.27,193.8,189.81,193.16,192.91,"46,742,500"
"Apr 17, 2025",197.2,198.83,194.42,196.98,196.72,"51,334,300"
"Apr 16, 2025",198.36,200.7,192.37,194.27,194.02,"59,732,400"
"Apr 15, 2025",201.86,203.51,199.8,202.14,201.88,"51,343,900"
"Apr 14, 2025",211.44,212.94,201.16,202.52,202.25,"101,352,900"
"Apr 11, 2025",186.1,199.54,186.06,198.15,197.89,"87,435,900"
"Apr 10, 2025",189.07,194.78,183,190.42,190.17,"121,880,000"
"Apr 9, 2025",171.95,200.61,171.89,198.85,198.59,"184,395,900"
"Apr 8, 2025",186.7,190.34,169.21,172.42,172.19,"120,859,500"
"Apr 7, 2025",177.2,194.15,174.62,181.46,181.22,"160,466,300"
"Apr 4, 2025",193.89,199.88,187.34,188.38,188.13,"125,910,900"
"Apr 3, 2025",205.54,207.49,201.25,203.19,202.92,"103,419,000"
"Apr 2, 2025",221.32,225.19,221.02,223.89,223.6,"35,905,900"
"Apr 1, 2025",219.81,223.68,218.9,223.19,222.9,"36,412,700"
"Mar 31, 2025",217.01,225.62,216.23,222.13,221.84,"65,299,300"
"Mar 28, 2025",221.67,223.81,217.68,217.9,217.61,"39,818,600"
"Mar 27, 2025",221.39,224.99,220.56,223.85,223.56,"37,094,800"
"Mar 26, 2025",223.51,225.02,220.47,221.53,221.24,"34,466,100"
"Mar 25, 2025",220.77,224.1,220.08,223.75,223.46,"34,493,600"
"Mar 24, 2025",221,221.48,218.58,220.73,220.44,"44,299,500"
"Mar 21, 2025",211.56,218.84,211.28,218.27,217.98,"94,127,800"
"Mar 20, 2025",213.99,217.49,212.22,214.1,213.82,"48,862,900"
"Mar 19, 2025",214.22,218.76,213.75,215.24,214.96,"54,385,400"
"Mar 18, 2025",214.16,215.15,211.49,212.69,212.41,"42,432,400"
"Mar 17, 2025",213.31,215.22,209.97,214,213.72,"48,073,400"
"Mar 14, 2025",211.25,213.95,209.58,213.49,213.21,"60,107,600"
"Mar 13, 2025",215.95,216.84,208.42,209.68,209.41,"61,368,300"
"Mar 12, 2025",220.14,221.75,214.91,216.98,216.7,"62,547,500"
"Mar 11, 2025",223.81,225.84,217.45,220.84,220.55,"76,137,400"
"Mar 10, 2025",235.54,236.16,224.22,227.48,227.18,"72,071,200"
"Mar 7, 2025",235.11,241.37,234.76,239.07,238.76,"46,273,600"
"Mar 6, 2025",234.44,237.86,233.16,235.33,235.02,"45,170,400"
"Mar 5, 2025",235.42,236.55,229.23,235.74,235.43,"47,227,600"
"Mar 4, 2025",237.71,240.07,234.68,235.93,235.62,"53,798,100"
"Mar 3, 2025",241.79,244.03,236.11,238.03,237.72,"47,184,000"
"Feb 28, 2025",236.95,242.09,230.2,241.84,241.52,"56,833,400"
"Feb 27, 2025",239.41,242.46,237.06,237.3,236.99,"41,153,600"
"Feb 26, 2025",244.33,244.98,239.13,240.36,240.05,"44,433,600"
"Feb 25, 2025",248,250,244.91,247.04,246.72,"48,013,300"
"Feb 24, 2025",244.93,248.86,244.42,247.1,246.78,"51,326,400"
"Feb 21, 2025",245.95,248.69,245.22,245.55,245.23,"53,197,400"
"Feb 20, 2025",244.94,246.78,244.29,245.83,245.51,"32,316,900"
"Feb 19, 2025",244.66,246.01,243.16,244.87,244.55,"32,204,200"
"Feb 18, 2025",244.15,245.18,241.84,244.47,244.15,"48,822,500"
"Feb 14, 2025",241.25,245.55,240.99,244.6,244.28,"40,896,200"
"Feb 13, 2025",236.91,242.34,235.57,241.53,241.21,"53,614,100"
"Feb 12, 2025",231.2,236.96,230.68,236.87,236.56,"45,243,300"
"Feb 11, 2025",228.2,235.23,228.13,232.62,232.32,"53,718,400"
"Feb 10, 2025",229.57,230.59,227.2,227.65,227.35,"33,115,600"
"Feb 7, 2025",232.6,234,227.26,227.63,227.08,"39,707,200"
"Feb 6, 2025",231.29,233.8,230.43,233.22,232.66,"29,925,300"
"Feb 5, 2025",228.53,232.67,228.27,232.47,231.91,"39,620,300"
"Feb 4, 2025",227.25,233.13,226.65,232.8,232.24,"45,067,300"
"Feb 3, 2025",229.99,231.83,225.7,228.01,227.46,"73,063,300"
"Jan 31, 2025",247.19,247.19,233.44,236,235.43,"101,075,100"
"Jan 30, 2025",238.67,240.79,237.21,237.59,237.02,"55,658,300"
"Jan 29, 2025",234.12,239.86,234.01,239.36,238.78,"45,486,100"
"Jan 28, 2025",230.85,240.19,230.81,238.26,237.69,"75,707,600"
"Jan 27, 2025",224.02,232.15,223.98,229.86,229.31,"94,863,400"
"Jan 24, 2025",224.78,225.63,221.41,222.78,222.24,"54,697,900"
"Jan 23, 2025",224.74,227.03,222.3,223.66,223.12,"60,234,800"
"Jan 22, 2025",219.79,224.12,219.79,223.83,223.29,"64,126,500"
"Jan 21, 2025",224,224.42,219.38,222.64,222.1,"98,070,400"
"Jan 17, 2025",232.12,232.29,228.48,229.98,229.43,"68,488,300"
"Jan 16, 2025",237.35,238.01,228.03,228.26,227.71,"71,759,100"
"Jan 15, 2025",234.64,238.96,234.43,237.87,237.3,"39,832,000"
"Jan 14, 2025",234.75,236.12,232.47,233.28,232.72,"39,435,300"
"Jan 13, 2025",233.53,234.67,229.72,234.4,233.84,"49,630,700"
"Jan 10, 2025",240.01,240.16,233,236.85,236.28,"61,710,900"
"Jan 8, 2025",241.92,243.71,240.05,242.7,242.12,"37,628,900"
"Jan 7, 2025",242.98,245.55,241.35,242.21,241.63,"40,856,000"
"Jan 6, 2025",244.31,247.33,243.2,245,244.41,"45,045,600"
"Jan 3, 2025",243.36,244.18,241.89,243.36,242.77,"40,244,100"
"Jan 2, 2025",248.93,249.1,241.82,243.85,243.26,"55,740,700"
"Dec 31, 2024",252.44,253.28,249.43,250.42,249.82,"39,480,700"
"Dec 30, 2024",252.23,253.5,250.75,252.2,251.59,"35,557,500"
"Dec 27, 2024",257.83,258.7,253.06,255.59,254.97,"42,355,300"
"Dec 26, 2024",258.19,260.1,257.63,259.02,258.4,"27,237,100"
"Dec 24, 2024",255.49,258.21,255.29,258.2,257.58,"23,234,700"
"Dec 23, 2024",254.77,255.65,253.45,255.27,254.66,"40,858,800"
"Dec 20, 2024",248.04,255,245.69,254.49,253.88,"147,495,300"
"Dec 19, 2024",247.5,252,247.09,249.79,249.19,"60,882,300"
"Dec 18, 2024",252.16,254.28,247.74,248.05,247.45,"56,774,100"
"Dec 17, 2024",250.08,253.83,249.78,253.48,252.87,"51,356,400"
"Dec 16, 2024",247.99,251.38,247.65,251.04,250.44,"51,694,800"
"Dec 13, 2024",247.82,249.29,246.24,248.13,247.53,"33,155,300"
"Dec 12, 2024",246.89,248.74,245.68,247.96,247.36,"32,777,500"
"Dec 11, 2024",247.96,250.8,246.26,246.49,245.9,"45,205,800"
"Dec 10, 2024",246.89,248.21,245.34,247.77,247.17,"36,914,800"
"Dec 9, 2024",241.83,247.24,241.75,246.75,246.16,"44,649,200"
"Dec 6, 2024",242.91,244.63,242.08,242.84,242.26,"36,870,600"
"Dec 5, 2024",243.99,244.54,242.13,243.04,242.46,"40,033,900"
"Dec 4, 2024",242.87,244.11,241.25,243.01,242.43,"44,383,900"
"Dec 3, 2024",239.81,242.76,238.9,242.65,242.07,"38,861,000"
"Dec 2, 2024",237.27,240.79,237.16,239.59,239.01,"48,137,100"
"Nov 29, 2024",234.81,237.81,233.97,237.33,236.76,"28,481,400"
"Nov 27, 2024",234.47,235.69,233.81,234.93,234.36,"33,498,400"
"Nov 26, 2024",233.33,235.57,233.33,235.06,234.49,"45,986,200"
"Nov 25, 2024",231.46,233.25,229.74,232.87,232.31,"90,152,800"
"Nov 22, 2024",228.06,230.72,228.06,229.87,229.32,"38,168,300"
"Nov 21, 2024",228.88,230.16,225.71,228.52,227.97,"42,108,300"
"Nov 20, 2024",228.06,229.93,225.89,229,228.45,"35,169,600"
"Nov 19, 2024",226.98,230.16,226.66,228.28,227.73,"36,211,800"
"Nov 18, 2024",225.25,229.74,225.17,228.02,227.47,"44,686,000"
"Nov 15, 2024",226.4,226.92,224.27,225,224.46,"47,923,700"
"Nov 14, 2024",225.02,228.87,225,228.22,227.67,"44,923,900"
"Nov 13, 2024",224.01,226.65,222.76,225.12,224.58,"48,566,200"
"Nov 12, 2024",224.55,225.59,223.36,224.23,223.69,"40,398,300"
"Nov 11, 2024",225,225.7,221.5,224.23,223.69,"42,005,600"
"Nov 8, 2024",227.17,228.66,226.41,226.96,226.41,"38,328,800"
"Nov 7, 2024",224.63,227.88,224.57,227.48,226.68,"42,137,700"
"Nov 6, 2024",222.61,226.07,221.19,222.72,221.94,"54,561,100"
"Nov 5, 2024",221.8,223.95,221.14,223.45,222.67,"28,111,300"
"Nov 4, 2024",220.99,222.79,219.71,222.01,221.23,"44,944,500"
"Nov 1, 2024",220.97,225.35,220.27,222.91,222.13,"65,276,700"
"Oct 31, 2024",229.34,229.83,225.37,225.91,225.12,"64,370,100"
"Oct 30, 2024",232.61,233.47,229.55,230.1,229.29,"47,070,900"
"Oct 29, 2024",233.1,234.33,232.32,233.67,232.85,"35,417,200"
"Oct 28, 2024",233.32,234.73,232.55,233.4,232.58,"36,087,100"
"Oct 25, 2024",229.74,233.22,229.57,231.41,230.6,"38,802,300"
"Oct 24, 2024",229.98,230.82,228.41,230.57,229.76,"31,109,500"
"Oct 23, 2024",234.08,235.14,227.76,230.76,229.95,"52,287,000"
"Oct 22, 2024",233.89,236.22,232.6,235.86,235.03,"38,846,600"
"Oct 21, 2024",234.45,236.85,234.45,236.48,235.65,"36,254,500"
"Oct 18, 2024",236.18,236.18,234.01,235,234.18,"46,431,500"
"Oct 17, 2024",233.43,233.85,230.52,232.15,231.34,"32,993,800"
"Oct 16, 2024",231.6,232.12,229.84,231.78,230.97,"34,082,200"
"Oct 15, 2024",233.61,237.49,232.37,233.85,233.03,"64,751,400"
"Oct 14, 2024",228.7,231.73,228.6,231.3,230.49,"39,882,100"
"Oct 11, 2024",229.3,229.41,227.34,227.55,226.75,"31,759,200"
"Oct 10, 2024",227.78,229.5,227.17,229.04,228.24,"28,183,500"
"Oct 9, 2024",225.23,229.75,224.83,229.54,228.74,"33,591,100"
"Oct 8, 2024",224.3,225.98,223.25,225.77,224.98,"31,855,700"
"Oct 7, 2024",224.5,225.69,221.33,221.69,220.91,"39,505,400"
"Oct 4, 2024",227.9,228,224.13,226.8,226.01,"37,245,100"
"Oct 3, 2024",225.14,226.81,223.32,225.67,224.88,"34,044,200"
"Oct 2, 2024",225.89,227.37,223.02,226.78,225.99,"32,880,600"
"Oct 1, 2024",229.52,229.65,223.74,226.21,225.42,"63,285,000"
"Sep 30, 2024",230.04,233,229.65,233,232.18,"54,541,900"
"Sep 27, 2024",228.46,229.52,227.3,227.79,226.99,"34,026,000"
"Sep 26, 2024",227.3,228.5,225.41,227.52,226.72,"36,636,700"
"Sep 25, 2024",224.93,227.29,224.02,226.37,225.58,"42,308,700"
"Sep 24, 2024",228.65,229.35,225.73,227.37,226.57,"43,556,100"
"Sep 23, 2024",227.34,229.45,225.81,226.47,225.68,"54,146,000"
"Sep 20, 2024",229.97,233.09,227.62,228.2,227.4,"318,679,900"
"Sep 19, 2024",224.99,229.82,224.63,228.87,228.07,"66,781,300"
"Sep 18, 2024",217.55,222.71,217.54,220.69,219.92,"59,894,900"
"Sep 17, 2024",215.75,216.9,214.5,216.79,216.03,"45,519,300"
"Sep 16, 2024",216.54,217.22,213.92,216.32,215.56,"59,357,400"
"Sep 13, 2024",223.58,224.04,221.91,222.5,221.72,"36,766,600"
"Sep 12, 2024",222.5,223.55,219.82,222.77,221.99,"37,498,200"
"Sep 11, 2024",221.46,223.09,217.89,222.66,221.88,"44,587,100"
"Sep 10, 2024",218.92,221.48,216.73,220.11,219.34,"51,591,000"
"Sep 9, 2024",220.82,221.27,216.71,220.91,220.14,"67,180,000"
"Sep 6, 2024",223.95,225.24,219.77,220.82,220.05,"48,423,000"
"Sep 5, 2024",221.63,225.48,221.52,222.38,221.6,"36,615,400"
"Sep 4, 2024",221.66,221.78,217.48,220.85,220.08,"43,840,200"
"Sep 3, 2024",228.55,229,221.17,222.77,221.99,"50,190,600"
"Aug 30, 2024",230.19,230.4,227.48,229,228.2,"52,990,800"
"Aug 29, 2024",230.1,232.92,228.88,229.79,228.99,"51,906,300"
"Aug 28, 2024",227.92,229.86,225.68,226.49,225.7,"38,052,200"
"Aug 27, 2024",226,228.85,224.89,228.03,227.23,"35,934,600"
"Aug 26, 2024",226.76,227.28,223.89,227.18,226.38,"30,602,200"
"Aug 23, 2024",225.66,228.22,224.33,226.84,226.05,"38,677,300"
"Aug 22, 2024",227.79,228.34,223.9,224.53,223.74,"43,695,300"
"Aug 21, 2024",226.52,227.98,225.05,226.4,225.61,"34,765,500"
"Aug 20, 2024",225.77,227.17,225.45,226.51,225.72,"30,299,000"
"Aug 19, 2024",225.72,225.99,223.04,225.89,225.1,"40,687,800"
"Aug 16, 2024",223.92,226.83,223.65,226.05,225.26,"44,340,200"
"Aug 15, 2024",224.6,225.35,222.76,224.72,223.93,"46,414,000"
"Aug 14, 2024",220.57,223.03,219.7,221.72,220.94,"41,960,600"
"Aug 13, 2024",219.01,221.89,219.01,221.27,220.49,"44,155,300"
"Aug 12, 2024",216.07,219.51,215.6,217.53,216.77,"38,028,100"
"Aug 9, 2024",212.1,216.78,211.97,216.24,215.23,"42,201,600"
"Aug 8, 2024",213.11,214.2,208.83,213.31,212.32,"47,161,100"
"Aug 7, 2024",206.9,213.64,206.39,209.82,208.84,"63,516,400"
"Aug 6, 2024",205.3,209.99,201.07,207.23,206.27,"69,660,500"
"Aug 5, 2024",199.09,213.5,196,209.27,208.3,"119,548,600"
"Aug 2, 2024",219.15,225.6,217.71,219.86,218.84,"105,568,600"
"Aug 1, 2024",224.37,224.48,217.02,218.36,217.34,"62,501,000"
"Jul 31, 2024",221.44,223.82,220.63,222.08,221.05,"50,036,300"
"Jul 30, 2024",219.19,220.33,216.12,218.8,217.78,"41,643,800"
"Jul 29, 2024",216.96,219.3,215.75,218.24,217.22,"36,311,800"
"Jul 26, 2024",218.7,219.49,216.01,217.96,216.95,"41,601,300"
"Jul 25, 2024",218.93,220.85,214.62,217.49,216.48,"51,391,200"
"Jul 24, 2024",224,224.8,217.13,218.54,217.52,"61,777,600"
"Jul 23, 2024",224.37,226.94,222.68,225.01,223.96,"39,960,300"
"Jul 22, 2024",227.01,227.78,223.09,223.96,222.92,"48,201,800"
"Jul 19, 2024",224.82,226.8,223.28,224.31,223.27,"49,151,500"
"Jul 18, 2024",230.28,230.44,222.27,224.18,223.14,"66,034,600"
