Date,Open,High,Low,Close,Adj Close,Volume
"Jun 18, 2025",148.56,149.26,147.19,147.82,147.82,"2,763,343"
"Jun 17, 2025",147.43,149.18,145.81,148.48,148.48,"7,243,400"
"Jun 16, 2025",146.5,147.07,144.91,146.46,146.46,"7,986,100"
"Jun 13, 2025",144.02,146.02,142.32,145.69,145.69,"11,765,200"
"Jun 12, 2025",140.27,142.06,140.13,140.98,140.98,"4,664,400"
"Jun 11, 2025",139,141.86,135.43,141.81,141.81,"6,370,300"
"Jun 10, 2025",140.5,141.12,137.94,138.52,138.52,"6,303,500"
"Jun 9, 2025",139.2,141.09,138.28,140.98,140.98,"7,104,300"
"Jun 6, 2025",139.68,140.65,138.32,139.1,139.1,"4,511,000"
"Jun 5, 2025",139.2,139.32,138.24,139.07,139.07,"3,510,800"
"Jun 4, 2025",138.16,138.86,137.65,138.55,138.55,"3,200,400"
"Jun 3, 2025",137.41,138.79,136.43,137.5,137.5,"3,493,900"
"Jun 2, 2025",136.42,137.52,135.43,137.46,137.46,"3,946,200"
"May 30, 2025",135,137.3,134.37,136.48,136.48,"8,195,100"
"May 29, 2025",132.12,135.09,131.9,134.8,134.8,"3,634,700"
"May 28, 2025",134.64,135,130.9,132.85,132.85,"5,426,300"
"May 27, 2025",134.49,134.9,132.15,134.19,134.19,"5,160,800"
"May 23, 2025",131.85,133.39,131.32,132.35,132.35,"5,510,000"
"May 22, 2025",134.6,134.98,133.51,134.07,133.39,"3,790,900"
"May 21, 2025",138.5,138.82,134.85,134.95,134.27,"5,514,900"
"May 20, 2025",136.39,137.75,135.89,137.18,136.48,"4,998,600"
"May 19, 2025",135.88,137.72,135.19,137.2,136.5,"5,180,800"
"May 16, 2025",135.71,136.4,134.48,135.48,134.79,"4,776,000"
"May 15, 2025",131.94,135.65,131.75,135.52,134.83,"6,772,200"
"May 14, 2025",131.49,131.85,129.11,130.79,130.13,"4,843,600"
"May 13, 2025",131,132.04,130.46,130.72,130.06,"4,334,700"
"May 12, 2025",129.89,130.8,127.39,130.56,129.9,"4,686,400"
"May 9, 2025",128.85,128.85,126.03,128.67,128.02,"4,857,600"
"May 8, 2025",127.99,130.53,127.5,128.67,128.02,"4,748,300"
"May 7, 2025",127.81,128.81,127.38,127.5,126.85,"4,029,200"
"May 6, 2025",127.58,128.67,126.91,128.16,127.51,"2,596,100"
"May 5, 2025",130,130.06,128.28,128.59,127.94,"3,293,300"
"May 2, 2025",129.38,131,127.85,130.21,129.55,"5,002,200"
"May 1, 2025",126.4,128.09,125.43,127.41,126.76,"4,820,900"
"Apr 30, 2025",125.79,126.57,123.6,126.13,125.49,"5,674,100"
"Apr 29, 2025",124.8,126.04,124.39,125.73,125.09,"4,313,600"
"Apr 28, 2025",125.93,126.31,123.68,124.8,124.17,"5,460,100"
"Apr 25, 2025",122.73,125.5,122.41,125.22,124.58,"6,205,900"
"Apr 24, 2025",120.03,122.06,119.51,121.97,121.35,"4,512,800"
"Apr 23, 2025",117.38,122.62,117.28,120.28,119.67,"10,456,300"
"Apr 22, 2025",114.53,117.19,112.63,113.75,113.17,"17,094,400"
"Apr 21, 2025",128.5,128.73,124.73,126.12,125.48,"6,397,400"
"Apr 17, 2025",129.36,130.5,127.7,128.89,128.24,"5,216,300"
"Apr 16, 2025",129.91,130.2,128.44,129.25,128.59,"5,382,800"
"Apr 15, 2025",128.5,129.95,128.24,128.64,127.99,"6,315,600"
"Apr 14, 2025",129.25,129.95,128.28,129.14,128.49,"4,099,900"
"Apr 11, 2025",126.16,129.32,125,128.26,127.61,"3,654,100"
"Apr 10, 2025",126.91,129.29,123.77,127.07,126.43,"6,457,800"
"Apr 9, 2025",119.02,128.93,118.17,128.43,127.78,"6,747,400"
"Apr 8, 2025",123.01,123.97,118.7,120.46,119.85,"8,108,600"
"Apr 7, 2025",113.92,119.92,112.27,117.32,116.72,"8,774,800"
"Apr 4, 2025",126,126.38,117.35,117.45,116.85,"8,526,700"
"Apr 3, 2025",131,133.71,129.94,130.23,129.57,"4,605,200"
"Apr 2, 2025",131.36,133.68,131.21,133.15,132.47,"3,352,900"
"Apr 1, 2025",132.28,133.04,131.36,132.85,132.18,"4,799,300"
"Mar 31, 2025",131.06,133.14,130.58,132.46,131.79,"5,521,100"
"Mar 28, 2025",132.97,133.64,131.64,131.72,131.05,"3,935,200"
"Mar 27, 2025",134.91,134.96,133.16,133.43,132.75,"3,914,000"
"Mar 26, 2025",135.97,136.17,134.06,134.33,133.65,"4,464,500"
"Mar 25, 2025",134.78,135.94,133.98,135.66,134.97,"3,990,600"
"Mar 24, 2025",132.66,134.89,131.94,134.69,134.01,"5,525,300"
"Mar 21, 2025",133.83,134.5,131.7,132.37,131.7,"9,545,900"
"Mar 20, 2025",134.12,135.32,133.89,134.47,133.79,"4,311,300"
"Mar 19, 2025",134.01,135.74,133.51,135.32,134.63,"7,080,700"
"Mar 18, 2025",132.07,133.27,131.71,132.69,132.02,"4,128,400"
"Mar 17, 2025",130,132.71,130,132.05,131.38,"4,934,600"
"Mar 14, 2025",128.94,130.69,128,129.99,129.33,"5,380,700"
"Mar 13, 2025",128.31,129.64,128,129.2,128.54,"3,434,100"
"Mar 12, 2025",128.35,128.55,126.81,127.96,127.31,"4,701,800"
"Mar 11, 2025",128.69,129.05,127.1,128.11,127.46,"4,404,800"
"Mar 10, 2025",127,129.84,126.41,128.52,127.87,"4,916,800"
"Mar 7, 2025",127,128.9,126.26,128.4,127.75,"6,418,500"
"Mar 6, 2025",128.61,128.86,125.96,128.28,127.63,"6,258,300"
"Mar 5, 2025",129.48,130.54,128.23,129.64,128.98,"5,774,900"
"Mar 4, 2025",133.52,134.73,128.49,128.7,128.05,"7,911,200"
"Mar 3, 2025",134.34,135.36,132.92,133.83,133.15,"6,215,800"
"Feb 28, 2025",131.29,133.09,130.62,132.99,132.32,"7,461,000"
"Feb 27, 2025",128.42,130.99,127.83,130.52,129.86,"5,758,900"
"Feb 26, 2025",127.52,128.33,126.84,127.31,126.66,"3,904,500"
"Feb 25, 2025",125.91,127.93,125.66,127.34,126.69,"6,007,900"
"Feb 24, 2025",125,126.23,124.63,125.43,124.79,"4,461,000"
"Feb 21, 2025",124.56,125.48,122.68,123.29,122.66,"4,846,100"
"Feb 20, 2025",124.76,125.31,123.19,125.11,123.85,"3,132,000"
"Feb 19, 2025",124.41,126.61,124.1,125.41,124.15,"5,124,600"
"Feb 18, 2025",124.24,125.33,123.41,123.76,122.51,"5,386,200"
"Feb 14, 2025",125.45,125.45,121.38,122.41,121.18,"7,715,900"
"Feb 13, 2025",127.54,127.64,125.27,125.84,124.57,"6,580,400"
"Feb 12, 2025",127.81,128.6,126.44,126.78,125.5,"5,154,900"
"Feb 11, 2025",129.1,129.42,127.8,129.11,127.81,"3,320,600"
"Feb 10, 2025",128.07,128.5,126.9,128.25,126.96,"5,344,900"
"Feb 7, 2025",128.8,129,127.33,127.95,126.66,"3,827,300"
"Feb 6, 2025",129.06,129.75,127.53,128.78,127.48,"3,363,300"
"Feb 5, 2025",129.66,129.89,128.29,129.16,127.86,"4,881,500"
"Feb 4, 2025",129.54,130.46,128.02,128.37,127.08,"4,036,800"
"Feb 3, 2025",128.5,130.54,127.55,129.92,128.61,"6,067,300"
"Jan 31, 2025",129.14,129.93,127.51,128.95,127.65,"5,570,600"
"Jan 30, 2025",125.66,129.22,125.55,128.98,127.68,"4,343,600"
"Jan 29, 2025",127.4,129.76,125.01,125.13,123.87,"5,179,000"
"Jan 28, 2025",131.18,132.43,126.13,128.35,127.06,"8,451,600"
"Jan 27, 2025",126.62,127.99,124.38,125.05,123.79,"6,207,800"
"Jan 24, 2025",125.52,126.28,125.08,125.31,124.05,"3,483,000"
"Jan 23, 2025",125.76,127,124.7,126.29,125.02,"5,501,300"
"Jan 22, 2025",125.68,125.88,123.65,124.38,123.13,"5,103,800"
"Jan 21, 2025",122.73,125.81,122.5,125.75,124.48,"6,071,100"
"Jan 17, 2025",120.6,121.35,119.86,121.11,119.89,"4,368,600"
"Jan 16, 2025",119.35,120.51,119.1,120.46,119.25,"3,896,900"
"Jan 15, 2025",120.15,120.37,118.17,119.09,117.89,"4,279,600"
"Jan 14, 2025",118.76,119.52,118.18,119.47,118.27,"3,804,900"
"Jan 13, 2025",114.58,117.93,114.58,117.74,116.55,"5,414,900"
"Jan 10, 2025",115.84,116.53,114.81,115.11,113.95,"4,287,300"
"Jan 8, 2025",114.93,116.2,114.41,115.92,114.75,"4,294,200"
"Jan 7, 2025",114.1,115.28,113.93,114.8,113.64,"3,588,400"
"Jan 6, 2025",116.28,116.28,113.73,114.1,112.95,"3,832,300"
"Jan 3, 2025",116.3,116.67,115.83,115.87,114.7,"2,902,600"
"Jan 2, 2025",116.97,117.45,115.54,116.01,114.84,"3,207,500"
"Dec 31, 2024",115.57,116.1,114.91,115.72,114.55,"2,445,000"
"Dec 30, 2024",115.44,115.92,114.53,115.22,114.06,"2,822,000"
"Dec 27, 2024",116.27,117.53,115.84,116.71,115.53,"3,847,500"
"Dec 26, 2024",116.77,117.62,116.39,117.04,115.86,"2,147,000"
"Dec 24, 2024",115.95,116.96,115.88,116.83,115.65,"1,663,000"
"Dec 23, 2024",116.19,116.89,115.79,116.63,115.45,"3,588,700"
"Dec 20, 2024",114.94,116.78,114.6,116.48,115.31,"13,389,200"
"Dec 19, 2024",115.7,117.25,115.25,115.46,114.3,"5,446,900"
"Dec 18, 2024",116.86,117.45,114.37,114.45,113.3,"4,113,600"
"Dec 17, 2024",117.69,118.13,117,117.42,116.24,"3,012,400"
"Dec 16, 2024",117.43,118.35,116.8,118.11,116.92,"3,986,400"
"Dec 13, 2024",116.26,117.93,115.97,117.75,116.56,"5,061,600"
"Dec 12, 2024",116.94,117.25,115.62,116.05,114.88,"3,848,600"
"Dec 11, 2024",117.84,117.98,116.3,116.94,115.76,"4,298,000"
"Dec 10, 2024",116.6,118.22,116,117.61,116.42,"3,725,400"
"Dec 9, 2024",117.35,117.85,114.22,116.58,115.4,"7,255,400"
"Dec 6, 2024",118.02,118.35,117.4,117.99,116.8,"4,792,100"
"Dec 5, 2024",118.8,119.01,117.69,118.52,117.33,"3,328,800"
"Dec 4, 2024",117.76,119.37,117.5,119.23,118.03,"3,774,300"
"Dec 3, 2024",119.02,119.45,117.89,118.1,116.91,"3,620,300"
"Dec 2, 2024",121.83,121.99,118.54,118.68,117.48,"4,468,700"
"Nov 29, 2024",120.68,121.87,120.66,121.83,120.6,"2,728,600"
"Nov 27, 2024",121.04,121.75,120.33,120.34,119.13,"3,604,000"
"Nov 26, 2024",118.87,121.04,118.59,120.61,119.39,"3,175,800"
"Nov 25, 2024",120.36,121,118.02,118.65,117.45,"8,322,400"
"Nov 22, 2024",120.72,121.88,120.5,120.77,119.55,"3,585,200"
"Nov 21, 2024",119.6,120.88,118.86,120.53,119.31,"4,847,900"
"Nov 20, 2024",118.85,119.28,117.67,119.15,117.95,"3,990,700"
"Nov 19, 2024",121.24,121.35,118.5,118.96,117.76,"4,654,100"
"Nov 18, 2024",118.37,119.72,118.37,119.39,118.19,"4,462,300"
"Nov 15, 2024",118.15,118.85,117.13,118.53,117.33,"6,970,500"
"Nov 14, 2024",123.2,123.5,117.56,118.92,117.1,"6,113,200"
"Nov 13, 2024",123.38,123.95,122.96,123.75,121.85,"2,802,500"
"Nov 12, 2024",124.89,125.28,122.3,123.37,121.48,"3,896,200"
"Nov 11, 2024",124.08,125.54,124.02,124.56,122.65,"4,012,300"
"Nov 8, 2024",120.95,124.22,120.9,123.55,121.66,"6,381,600"
"Nov 7, 2024",122,122.25,119.96,120.08,118.24,"4,415,200"
"Nov 6, 2024",122.55,122.86,120.26,121.59,119.73,"9,631,900"
"Nov 5, 2024",118.49,119.1,117.7,118.98,117.16,"8,093,600"
"Nov 4, 2024",119.07,119.63,117.83,118,116.19,"6,856,100"
"Nov 1, 2024",121.5,121.62,118.74,118.75,116.93,"5,234,900"
"Oct 31, 2024",121.3,122.09,120.58,120.99,119.14,"4,112,700"
"Oct 30, 2024",122.34,122.81,121.75,121.86,119.99,"4,852,100"
"Oct 29, 2024",125.41,125.5,122.68,122.79,120.91,"5,102,700"
"Oct 28, 2024",125.23,125.91,124.63,125.43,123.51,"4,453,200"
"Oct 25, 2024",126.06,126.25,124.8,125.16,123.24,"4,716,200"
"Oct 24, 2024",126.38,126.68,125.12,125.17,123.25,"4,171,800"
"Oct 23, 2024",126.91,127.5,125.63,127.21,125.26,"5,451,400"
"Oct 22, 2024",127.99,128.7,123.53,125.53,123.61,"5,746,100"
"Oct 21, 2024",125.9,126.43,124.7,125.9,123.97,"4,768,600"
"Oct 18, 2024",126.15,126.27,125.04,125.92,123.99,"4,356,300"
"Oct 17, 2024",126.47,127,125.13,125.75,123.82,"2,463,700"
"Oct 16, 2024",124.77,126.24,124.2,126.22,124.29,"3,127,400"
"Oct 15, 2024",125.97,126.82,124.7,125.03,123.11,"7,521,300"
"Oct 14, 2024",123.74,124.83,123.27,124.64,122.73,"1,929,700"
"Oct 11, 2024",123,123.93,122.9,123.93,122.03,"2,556,200"
"Oct 10, 2024",123.63,124.07,122.41,122.94,121.06,"2,785,300"
"Oct 9, 2024",123.03,124.74,122.6,123.95,122.05,"3,210,400"
"Oct 8, 2024",125.43,125.94,123.27,123.5,121.61,"3,194,500"
"Oct 7, 2024",124.85,125.68,124.25,125.05,123.13,"4,606,100"
"Oct 4, 2024",123.7,124.98,123.15,124.91,123,"3,055,900"
"Oct 3, 2024",124.5,124.9,123.2,123.67,121.77,"4,765,700"
"Oct 2, 2024",125.22,125.53,123.64,124.04,122.14,"3,802,900"
"Oct 1, 2024",121.18,124.59,120.14,124.39,122.48,"7,206,900"
"Sep 30, 2024",120.68,121.29,119.77,121.16,119.3,"5,475,700"
"Sep 27, 2024",119.94,121.24,119.62,120.39,118.54,"7,941,800"
"Sep 26, 2024",120.24,121.88,120.13,120.32,118.48,"6,202,600"
"Sep 25, 2024",120.51,121.45,120.36,120.9,119.05,"5,713,600"
"Sep 24, 2024",120.13,120.25,119.08,120.04,118.2,"5,844,600"
"Sep 23, 2024",118.67,120.48,118.21,120.27,118.43,"6,755,400"
"Sep 20, 2024",118.2,118.89,117.86,118.15,116.34,"16,958,300"
"Sep 19, 2024",118.7,119.21,117.26,118.82,117,"5,270,600"
"Sep 18, 2024",118.97,119.61,117.77,118.04,116.23,"4,434,800"
"Sep 17, 2024",118.5,119.04,117.75,118.73,116.91,"5,101,500"
"Sep 16, 2024",119.97,120.55,118.06,119.2,117.37,"6,025,400"
"Sep 13, 2024",119.9,120.2,118.89,119.12,117.29,"4,708,000"
"Sep 12, 2024",119,120.15,118.8,120.1,118.26,"4,229,700"
"Sep 11, 2024",119.87,119.87,117.35,119.26,117.43,"4,857,200"
"Sep 10, 2024",121.51,121.71,119.91,120.3,118.46,"3,806,700"
"Sep 9, 2024",119.64,121.33,119.17,121.16,119.3,"4,492,000"
"Sep 6, 2024",119.65,120.77,118.07,118.44,116.62,"3,983,700"
"Sep 5, 2024",121.19,121.61,118.65,119.64,117.81,"5,764,500"
"Sep 4, 2024",121.1,122.32,120.77,121.11,119.25,"4,484,200"
"Sep 3, 2024",123.12,123.66,120.68,120.99,119.14,"5,543,900"
"Aug 30, 2024",122.05,123.7,121.96,123.34,121.45,"6,372,000"
"Aug 29, 2024",121.09,122.74,120.54,122.29,120.42,"3,547,800"
"Aug 28, 2024",119.77,121.35,119.68,120.84,118.99,"4,287,200"
"Aug 27, 2024",118.68,119.59,118.39,119.49,117.66,"4,101,200"
"Aug 26, 2024",118.69,119.73,118.39,118.7,116.88,"6,260,400"
"Aug 23, 2024",118.29,118.89,117.91,118.52,116.7,"3,427,500"
"Aug 22, 2024",117.36,118.06,117.18,118.02,116.21,"3,743,600"
"Aug 21, 2024",118.5,118.64,116.95,117.26,115.46,"3,050,900"
"Aug 20, 2024",118.33,118.68,117.24,117.95,116.14,"6,129,200"
"Aug 19, 2024",118,118.52,117.98,118.35,116.54,"5,389,900"
"Aug 16, 2024",0.63 Dividend,,,,,
"Aug 16, 2024",117.87,118.62,117.57,117.95,116.14,"5,251,500"
"Aug 15, 2024",118.51,118.99,117.53,118.36,115.93,"5,629,900"
"Aug 14, 2024",116.84,117.83,116.65,117.65,115.23,"5,826,700"
"Aug 13, 2024",116.79,117.26,116.07,116.86,114.46,"5,911,900"
"Aug 12, 2024",116.86,117.44,115.76,116.6,114.2,"8,602,000"
"Aug 9, 2024",115.04,116.29,114.87,116.15,113.76,"5,534,300"
"Aug 8, 2024",113.9,115.84,113.7,115.1,112.73,"8,889,100"
"Aug 7, 2024",114.3,115.98,113.61,114.15,111.8,"5,553,200"
"Aug 6, 2024",115.59,116.82,114.12,114.4,112.05,"4,642,400"
"Aug 5, 2024",115.11,116.44,114.37,115.17,112.8,"5,888,600"
"Aug 2, 2024",116.25,118.3,115.07,116.44,114.05,"4,578,400"
"Aug 1, 2024",117.72,117.99,116.06,116.74,114.34,"5,135,100"
"Jul 31, 2024",117.5,118.22,116.46,117.49,115.07,"6,780,400"
"Jul 30, 2024",115.2,117.03,114.56,116.88,114.48,"6,074,400"
"Jul 29, 2024",114,114.63,113.3,114.44,112.09,"4,138,900"
"Jul 26, 2024",113.96,115.23,113.5,113.95,111.61,"7,526,300"
"Jul 25, 2024",110.23,115.82,109.45,113.47,111.14,"14,997,000"
